iso3_orig,iso3_dest,year,migrant_stock,dest_total_migrant_stock,orig_total_migrant_stock,origin_share_in_dest_migrants,dest_share_of_origin_emigration
CAN,USA,2015,955022.0,43278121.0,955022.0,0.022067085583498416,1.0
CAN,USA,2020,931908.0,45295697.0,931908.0,0.02057387482082459,1.0
CAN,USA,2024,950387.0,48694117.0,950387.0,0.019517491199193528,1.0
CHN,IDN,2000,14.0,280446.0,1400829.0,4.9920483800803005e-05,9.994082075685183e-06
CHN,IDN,2005,10.0,95078.0,1593076.0,0.00010517680220450577,6.277164429066786e-06
CHN,IDN,2010,24.0,100661.0,2018639.0,0.0002384240172460039,1.1889198613521289e-05
CHN,IDN,2015,15036.0,135695.0,2533548.0,0.11080732525148311,0.005934760265051225
CHN,IDN,2020,47633.0,292106.0,2735232.0,0.16306751658644464,0.01741461053395105
CHN,IDN,2024,82568.0,422616.0,3006123.0,0.19537357790523785,0.027466607321124253
CHN,MYS,2000,30708.0,1485613.0,1400829.0,0.020670255308751335,0.021921305170010043
CHN,MYS,2005,30708.0,2045120.0,1593076.0,0.015015255828508841,0.01927591652877829
CHN,MYS,2010,30775.0,2917897.0,2018639.0,0.010546979554110375,0.015245420305463235
CHN,MYS,2015,30708.0,3359082.0,2533548.0,0.009141783380102063,0.012120551890076683
CHN,MYS,2020,30606.0,3486644.0,2735232.0,0.008778068538112867,0.0111895444335252
CHN,MYS,2024,30524.0,3572557.0,3006123.0,0.008544020431304524,0.010153942470085223
CHN,USA,2000,1370107.0,31369527.0,1400829.0,0.043676367833024705,0.9780687007479143
CHN,USA,2005,1562358.0,35533585.0,1593076.0,0.04396848784044728,0.9807178063067926
CHN,USA,2010,1987840.0,39769676.0,2018639.0,0.0499838117866487,0.9847426904959232
CHN,USA,2015,2487804.0,43278121.0,2533548.0,0.05748410380385969,0.9819446878448721
CHN,USA,2020,2656993.0,45295697.0,2735232.0,0.058658839050429006,0.9713958450325237
CHN,USA,2024,2893031.0,48694117.0,3006123.0,0.059412331062497756,0.9623794502087906
